,tweets,user_name,location,geo,ftokens,lemma
70,Lets play the fun game  is it allergies or is it covid ,ChristinaGGames,Alberta,,"['lets', 'play', 'fun', 'game', 'allergies', 'covid']","['let', 'play', 'fun', 'game', 'allergy', 'covid']"
71,As the state works to prevent the spread of COVID19 plans to further restrict fitness centers and gymnastics gyms… ,AlisonKIRO7,Seattle,,"['state', 'works', 'prevent', 'spread', 'covid19', 'plans', 'restrict', 'fitness', 'centers', 'gymnastics', 'gyms…']","['state', 'work', 'prevent', 'spread', 'covid19', 'plan', 'restrict', 'fitness', 'center', 'gymnastics', 'gyms…']"
72,Spending on Shopify surpasses eBay as Covid19 sends shoppers online  via ,rajit_h,Sri Lanka,,"['spending', 'shopify', 'surpasses', 'ebay', 'covid19', 'sends', 'shoppers', 'online', 'via']","['spending', 'shopify', 'surpass', 'ebay', 'covid19', 'send', 'shopper', 'online', 'via']"
73, Missing the point Kap MLB doesn’t want any actions that could result in unnecessary close player conta… ,yamakaw1,,,"['missing', 'point', 'kap', 'mlb', '’', 'want', 'actions', 'could', 'result', 'unnecessary', 'close', 'player', 'conta…']","['miss', 'point', 'kap', 'mlb', '’', 'want', 'action', 'could', 'result', 'unnecessary', 'close', 'player', 'conta…']"
74,Trump bleach ampdetergent injection info is nothing compared to Trump mentor Meet Dr Stella Immanuel she argues th… ,Peace_Marketer,,,"['trump', 'bleach', 'ampdetergent', 'injection', 'info', 'nothing', 'compared', 'trump', 'mentor', 'meet', 'dr', 'stella', 'immanuel', 'argues', 'th…']","['trump', 'bleach', 'ampdetergent', 'injection', 'info', 'nothing', 'compare', 'trump', 'mentor', 'meet', 'dr', 'stella', 'immanuel', 'argue', 'th…']"
75,    Live and let die you must be white  such ignorance  what if all your… ,Domie55916276,Winnipeg MB ,,"['live', 'let', 'die', 'must', 'white', 'ignorance', 'your…']","['live', 'let', 'die', 'must', 'white', 'ignorance', 'your…']"
76,Finally got my COVID stimulus money today Unlike everyone else I was responsible with mine Paid a mortgage payment with it,CarasikS,"Marietta, GA",,"['finally', 'got', 'covid', 'stimulus', 'money', 'today', 'unlike', 'everyone', 'else', 'responsible', 'mine', 'paid', 'mortgage', 'payment']","['finally', 'get', 'covid', 'stimulus', 'money', 'today', 'unlike', 'everyone', 'else', 'responsible', 'mine', 'pay', 'mortgage', 'payment']"
77,  Yep that is why Cuomo and others sent Covid positive patients to nursing homes,Allen12838496,Colorado,,"['yep', 'cuomo', 'others', 'sent', 'covid', 'positive', 'patients', 'nursing', 'homes']","['yep', 'cuomo', 'others', 'send', 'covid', 'positive', 'patient', 'nurse', 'home']"
78, Orrrrr covid brought me back and twitter has better porn ,msniki__,,,"['orrrrr', 'covid', 'brought', 'back', 'twitter', 'better', 'porn']","['orrrrr', 'covid', 'bring', 'back', 'twitter', 'well', 'porn']"
79, This Fed Gov makes me so AngryMy dads been neglected in Aged Care only been there a wk he was in … ,LorraineBranna2,"Melbourne, Victoria",,"['fed', 'gov', 'makes', 'angrymy', 'dads', 'neglected', 'aged', 'care', 'wk', '…']","['feed', 'gov', 'make', 'angrymy', 'dad', 'neglect', 'age', 'care', 'wk', '…']"
80,  I take back what I said After seeing Trumps’ Retweets about the Alien DNA demon sex Covid doctor lady I was wrong ,Swikky,"Houston, TX",,"['take', 'back', 'said', 'seeing', 'trumps', '’', 'retweets', 'alien', 'dna', 'demon', 'sex', 'covid', 'doctor', 'lady', 'wrong']","['take', 'back', 'say', 'seeing', 'trump', '’', 'retweets', 'alien', 'dna', 'demon', 'sex', 'covid', 'doctor', 'lady', 'wrong']"
81, You havent heard of the Savior of Covid,Chillybillz,,,"['havent', 'heard', 'savior', 'covid']","['havent', 'heard', 'savior', 'covid']"
82, Supernatural Ended tho Or at least they’re trying to lmao shoutout to Covid,samthingblue,,,"['supernatural', 'ended', 'tho', 'least', '’', 'trying', 'lmao', 'shoutout', 'covid']","['supernatural', 'end', 'tho', 'least', '’', 'try', 'lmao', 'shoutout', 'covid']"
83,Im absolutely furiouscovid19australia ,GOAT_aus,Australia,,"['im', 'absolutely', 'furiouscovid19australia']","['im', 'absolutely', 'furiouscovid19australia']"
84,For those that askedMy experience coming back to set with the COVID safety protocolssafetyfirst covid19… ,shaneleDP,So Cal,,"['askedmy', 'experience', 'coming', 'back', 'set', 'covid', 'safety', 'protocolssafetyfirst', 'covid19…']","['askedmy', 'experience', 'come', 'back', 'set', 'covid', 'safety', 'protocolssafetyfirst', 'covid19…']"
85,Virus dogs unleashed to sniff out COVID carriers ,jodieobrien,Australia,,"['virus', 'dogs', 'unleashed', 'sniff', 'covid', 'carriers']","['virus', 'dog', 'unleashed', 'sniff', 'covid', 'carrier']"
86,Got my covid test Hopefully it’s all good Results in a week they said,bechobbit,SoCAL,,"['got', 'covid', 'test', 'hopefully', '’', 'good', 'results', 'week', 'said']","['get', 'covid', 'test', 'hopefully', '’', 'good', 'result', 'week', 'say']"
87,     The world is getting along fine Most western… ,jonny1436,,,"['world', 'getting', 'along', 'fine', 'western…']","['world', 'get', 'along', 'fine', 'western…']"
88, WHO HAS IT I THOUGHT WE WERE COVID FREE,warpigwarpiigs,Chromatica,,"['thought', 'covid', 'free']","['think', 'covid', 'free']"
89, Didnt they misplace the entire stack Nice little project but factor that times tens of millions… ,rightwaysgunner,United States,,"['didnt', 'misplace', 'entire', 'stack', 'nice', 'little', 'project', 'factor', 'times', 'tens', 'millions…']","['didnt', 'misplace', 'entire', 'stack', 'nice', 'little', 'project', 'factor', 'time', 'ten', 'millions…']"
90,Top 10 causes of death in US annual average vs COVID19 so farHeart disease 647KCancer 599KAccidents 1… ,PolicialCrazies,,,"['top', '10', 'causes', 'death', 'us', 'annual', 'average', 'vs', 'covid19', 'farheart', 'disease', '647kcancer', '599kaccidents', '1…']","['top', '10', 'cause', 'death', 'u', 'annual', 'average', 'vs', 'covid19', 'farheart', 'disease', '647kcancer', '599kaccidents', '1…']"
91,Yall can shit on an FB fundraiser but Ive almost raised 1200 for COVID homeless relief in 8 days so STAY MAD,madclairerob,CA/VA,,"['yall', 'shit', 'fb', 'fundraiser', 'ive', 'almost', 'raised', '1200', 'covid', 'homeless', 'relief', '8', 'days', 'stay', 'mad']","['yall', 'shit', 'fb', 'fundraiser', 'ive', 'almost', 'raise', '1200', 'covid', 'homeless', 'relief', '8', 'day', 'stay', 'mad']"
92, What last longer Covid hysteria or lie RBG is still alive,CryptoFraggle,United States,,"['last', 'longer', 'covid', 'hysteria', 'lie', 'rbg', 'still', 'alive']","['last', 'long', 'covid', 'hysteria', 'lie', 'rbg', 'still', 'alive']"
